date,Value,Ticker,Name
1946-01-01,,GDP,Gross Domestic Product
1946-04-01,,GDP,Gross Domestic Product
1946-07-01,,GDP,Gross Domestic Product
1946-10-01,,GDP,Gross Domestic Product
1947-01-01,243.164,GDP,Gross Domestic Product
1947-04-01,245.968,GDP,Gross Domestic Product
1947-07-01,249.585,GDP,Gross Domestic Product
1947-10-01,259.745,GDP,Gross Domestic Product
1948-01-01,265.742,GDP,Gross Domestic Product
1948-04-01,272.567,GDP,Gross Domestic Product
1948-07-01,279.196,GDP,Gross Domestic Product
1948-10-01,280.366,GDP,Gross Domestic Product
1949-01-01,275.034,GDP,Gross Domestic Product
1949-04-01,271.351,GDP,Gross Domestic Product
1949-07-01,272.889,GDP,Gross Domestic Product
1949-10-01,270.627,GDP,Gross Domestic Product
1950-01-01,280.828,GDP,Gross Domestic Product
1950-04-01,290.383,GDP,Gross Domestic Product
1950-07-01,308.153,GDP,Gross Domestic Product
1950-10-01,319.945,GDP,Gross Domestic Product
1951-01-01,336.0,GDP,Gross Domestic Product
1951-04-01,344.09,GDP,Gross Domestic Product
1951-07-01,351.385,GDP,Gross Domestic Product
1951-10-01,356.178,GDP,Gross Domestic Product
1952-01-01,359.82,GDP,Gross Domestic Product
1952-04-01,361.03,GDP,Gross Domestic Product
1952-07-01,367.701,GDP,Gross Domestic Product
1952-10-01,380.812,GDP,Gross Domestic Product
1953-01-01,387.98,GDP,Gross Domestic Product
1953-04-01,391.749,GDP,Gross Domestic Product
1953-07-01,391.171,GDP,Gross Domestic Product
1953-10-01,385.97,GDP,Gross Domestic Product
1954-01-01,385.345,GDP,Gross Domestic Product
1954-04-01,386.121,GDP,Gross Domestic Product
1954-07-01,390.996,GDP,Gross Domestic Product
1954-10-01,399.734,GDP,Gross Domestic Product
1955-01-01,413.073,GDP,Gross Domestic Product
1955-04-01,421.532,GDP,Gross Domestic Product
1955-07-01,430.221,GDP,Gross Domestic Product
1955-10-01,437.092,GDP,Gross Domestic Product
1956-01-01,439.746,GDP,Gross Domestic Product
1956-04-01,446.01,GDP,Gross Domestic Product
1956-07-01,451.191,GDP,Gross Domestic Product
1956-10-01,460.463,GDP,Gross Domestic Product
1957-01-01,469.779,GDP,Gross Domestic Product
1957-04-01,472.025,GDP,Gross Domestic Product
1957-07-01,479.49,GDP,Gross Domestic Product
1957-10-01,474.864,GDP,Gross Domestic Product
1958-01-01,467.54,GDP,Gross Domestic Product
1958-04-01,471.978,GDP,Gross Domestic Product
1958-07-01,485.841,GDP,Gross Domestic Product
1958-10-01,499.555,GDP,Gross Domestic Product
1959-01-01,510.33,GDP,Gross Domestic Product
1959-04-01,522.653,GDP,Gross Domestic Product
1959-07-01,525.034,GDP,Gross Domestic Product
1959-10-01,528.6,GDP,Gross Domestic Product
1960-01-01,542.648,GDP,Gross Domestic Product
1960-04-01,541.08,GDP,Gross Domestic Product
1960-07-01,545.604,GDP,Gross Domestic Product
1960-10-01,540.197,GDP,Gross Domestic Product
1961-01-01,545.018,GDP,Gross Domestic Product
1961-04-01,555.545,GDP,Gross Domestic Product
1961-07-01,567.664,GDP,Gross Domestic Product
1961-10-01,580.612,GDP,Gross Domestic Product
1962-01-01,594.013,GDP,Gross Domestic Product
1962-04-01,600.366,GDP,Gross Domestic Product
1962-07-01,609.027,GDP,Gross Domestic Product
1962-10-01,612.28,GDP,Gross Domestic Product
1963-01-01,621.672,GDP,Gross Domestic Product
1963-04-01,629.752,GDP,Gross Domestic Product
1963-07-01,644.444,GDP,Gross Domestic Product
1963-10-01,653.938,GDP,Gross Domestic Product
1964-01-01,669.822,GDP,Gross Domestic Product
1964-04-01,678.674,GDP,Gross Domestic Product
1964-07-01,692.031,GDP,Gross Domestic Product
1964-10-01,697.319,GDP,Gross Domestic Product
1965-01-01,717.79,GDP,Gross Domestic Product
1965-04-01,730.191,GDP,Gross Domestic Product
1965-07-01,749.323,GDP,Gross Domestic Product
1965-10-01,771.857,GDP,Gross Domestic Product
1966-01-01,795.734,GDP,Gross Domestic Product
1966-04-01,804.981,GDP,Gross Domestic Product
1966-07-01,819.638,GDP,Gross Domestic Product
1966-10-01,833.302,GDP,Gross Domestic Product
1967-01-01,844.17,GDP,Gross Domestic Product
1967-04-01,848.983,GDP,Gross Domestic Product
1967-07-01,865.233,GDP,Gross Domestic Product
1967-10-01,881.439,GDP,Gross Domestic Product
1968-01-01,909.387,GDP,Gross Domestic Product
1968-04-01,934.344,GDP,Gross Domestic Product
1968-07-01,950.825,GDP,Gross Domestic Product
1968-10-01,968.03,GDP,Gross Domestic Product
1969-01-01,993.337,GDP,Gross Domestic Product
1969-04-01,1009.02,GDP,Gross Domestic Product
1969-07-01,1029.956,GDP,Gross Domestic Product
1969-10-01,1038.147,GDP,Gross Domestic Product
1970-01-01,1051.2,GDP,Gross Domestic Product
1970-04-01,1067.375,GDP,Gross Domestic Product
1970-07-01,1086.059,GDP,Gross Domestic Product
1970-10-01,1088.608,GDP,Gross Domestic Product
1971-01-01,1135.156,GDP,Gross Domestic Product
1971-04-01,1156.271,GDP,Gross Domestic Product
1971-07-01,1177.675,GDP,Gross Domestic Product
1971-10-01,1190.297,GDP,Gross Domestic Product
1972-01-01,1230.609,GDP,Gross Domestic Product
1972-04-01,1266.369,GDP,Gross Domestic Product
1972-07-01,1290.566,GDP,Gross Domestic Product
1972-10-01,1328.904,GDP,Gross Domestic Product
1973-01-01,1377.49,GDP,Gross Domestic Product
1973-04-01,1413.887,GDP,Gross Domestic Product
1973-07-01,1433.838,GDP,Gross Domestic Product
1973-10-01,1476.289,GDP,Gross Domestic Product
1974-01-01,1491.209,GDP,Gross Domestic Product
1974-04-01,1530.056,GDP,Gross Domestic Product
1974-07-01,1560.026,GDP,Gross Domestic Product
1974-10-01,1599.679,GDP,Gross Domestic Product
1975-01-01,1616.116,GDP,Gross Domestic Product
1975-04-01,1651.853,GDP,Gross Domestic Product
1975-07-01,1709.82,GDP,Gross Domestic Product
1975-10-01,1761.831,GDP,Gross Domestic Product
1976-01-01,1820.487,GDP,Gross Domestic Product
1976-04-01,1852.332,GDP,Gross Domestic Product
1976-07-01,1886.558,GDP,Gross Domestic Product
1976-10-01,1934.273,GDP,Gross Domestic Product
1977-01-01,1988.648,GDP,Gross Domestic Product
1977-04-01,2055.909,GDP,Gross Domestic Product
1977-07-01,2118.473,GDP,Gross Domestic Product
1977-10-01,2164.27,GDP,Gross Domestic Product
1978-01-01,2202.76,GDP,Gross Domestic Product
1978-04-01,2331.633,GDP,Gross Domestic Product
1978-07-01,2395.053,GDP,Gross Domestic Product
1978-10-01,2476.949,GDP,Gross Domestic Product
1979-01-01,2526.61,GDP,Gross Domestic Product
1979-04-01,2591.247,GDP,Gross Domestic Product
1979-07-01,2667.565,GDP,Gross Domestic Product
1979-10-01,2723.883,GDP,Gross Domestic Product
1980-01-01,2789.842,GDP,Gross Domestic Product
1980-04-01,2797.352,GDP,Gross Domestic Product
1980-07-01,2856.483,GDP,Gross Domestic Product
1980-10-01,2985.557,GDP,Gross Domestic Product
1981-01-01,3124.206,GDP,Gross Domestic Product
